canonicalsmiles,mw,xlogp,polararea,rotbonds,hbonddonor,hbondacc,charge,anti_inflammatory
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,376.4,-1.5,155.0,5,5,7,0,0
C1=CC=C(C(=C1)O)O,110.11,0.9,40.5,0,2,2,0,0
C(=CC(=O)O)C(=O)O,116.07,-0.3,74.6,2,2,4,0,0
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,365.4,-2.0,158.0,4,4,7,0,0
C(C(=O)O)(Cl)Cl,128.94,0.9,37.3,1,1,2,0,0
CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,435.9,2.4,138.0,4,2,7,0,0
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.28,0.8,54.1,4,2,2,0,0
C1=CC(=CN=C1)C(=O)N,122.12,-0.4,56.0,1,1,2,0,0
C(CCC(=O)O)CC(=O)O,146.14,0.1,74.6,5,2,4,0,0
CC(=O)NC1=CC=CC=C1,135.16,1.2,29.1,1,1,1,0,0
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,288.4,3.3,37.3,0,1,2,0,0
C(CCl)Cl,98.96,1.5,0.0,1,0,0,0,0
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74,3.0,32.7,1,0,2,0,0
CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,581.6,-8.0,336.0,9,12,15,0,0
C1=CC(=C(C=C1C(CN)O)O)O,169.18,-1.2,86.7,2,4,4,0,0
C1=CC(=CC=C1Cl)Cl,147.0,3.4,0.0,0,0,0,0,0
COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,339.4,3.9,49.8,6,0,5,0,0
CC1=CC=CC=C1C,106.16,3.1,0.0,0,0,0,0,0
CCCOC(=O)C1=CC=C(C=C1)O,180.2,3.0,46.5,4,1,3,0,0
COCCOCCO,120.15,-0.9,38.7,5,1,3,0,0
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,221.03,2.8,46.5,3,1,3,0,0
C=CC=O,56.06,0.0,17.1,1,0,1,0,0
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,300.4,6.3,37.3,5,1,2,0,0
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,243.22,-2.1,129.0,2,4,5,0,0
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,201.25,2.5,69.8,1,1,3,0,0
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,216.19,1.9,48.7,1,0,4,0,0
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,342.3,-3.7,190.0,5,8,11,0,0
C1=CC=C(C=C1)OCCO,138.16,1.2,29.5,3,1,2,0,0
CN(C)C(=S)SSC(=S)N(C)C,240.4,1.7,121.0,3,0,4,0,0
COC(=O)C1=CC=C(C=C1)O,152.15,2.0,46.5,2,1,3,0,0
CC(CO)O,76.09,-0.9,40.5,1,2,2,0,0
CCN(CC1=CN=C(C=C1)Cl)C(=C[N+](=O)[O-])NC,270.71,2.4,74.0,5,1,5,0,0
C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-],264.36,1.0,38.4,0,0,2,0,0
CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C,670.9,4.2,153.0,10,4,11,0,0
CC1=CC=C(C=C1)O,108.14,1.9,20.2,0,1,1,0,0
C1=CC=C2C(=C1)NC3=CC=CC=C3S2,199.27,4.2,37.3,0,1,2,0,0
C(=S)(N)N,76.12,-0.8,84.1,0,2,1,0,0
CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,764.9,2.3,183.0,7,5,13,0,0
CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,391.3,6.5,35.5,7,0,3,0,0
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,330.4,2.4,128.0,11,0,8,0,0
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,208.21,3.4,34.1,0,0,2,0,0
C1CC1NC2=NC(=NC(=N2)N)N,166.18,-0.2,103.0,2,3,6,0,0
C1=CC(=C(C=C1Cl)Cl)O,163.0,3.1,20.2,0,1,1,0,0
COP(=O)(OC)OC=C(Cl)Cl,220.97,1.4,44.8,4,0,4,0,0
CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,278.3,4.1,85.1,5,0,5,0,0
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,416.3,6.0,59.3,7,0,4,0,0
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,266.3,5.1,20.2,0,1,1,0,0
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34,274.4,2.6,37.3,0,1,2,0,0
C(=O)C=O,58.04,-0.4,34.1,1,0,2,0,0
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,286.4,2.7,34.1,0,0,2,0,0
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],291.26,3.8,106.0,6,0,6,0,0
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,384.5,5.1,152.0,12,0,8,0,0
CCCCOC(=O)C1=CC=C(C=C1)O,194.23,3.6,46.5,5,1,3,0,0
CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,338.4,3.7,46.2,13,0,5,0,0
CN1CN(C(=S)SC1)C,162.3,1.3,63.9,0,0,3,0,0
C(Cl)(Cl)(Cl)Cl,153.8,2.8,0.0,0,0,0,0,0
CN1CCCC1=O,99.13,-0.5,20.3,0,0,1,0,0
C(=S)=S,76.15,2.1,64.2,0,0,2,0,0
CN=C=S,73.12,0.9,44.4,0,0,2,0,0
CCOP(=S)(OCC)SCSC(C)(C)C,288.4,4.5,101.0,8,0,5,0,0
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,320.0,6.2,0.0,3,0,0,0,0
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,853.9,2.5,221.0,14,4,14,0,0
CC1=C(C(=O)C=CO1)O,126.11,0.4,46.5,0,1,3,0,0
COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,414.4,2.0,92.7,4,1,8,0,0
C=C,28.05,1.2,0.0,0,0,0,0,0
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,807.9,1.6,224.0,13,5,14,0,0
CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,421.4,0.5,103.0,3,2,7,0,0
